Rank,Title,Description,Developer,Release Date,Genre,Metascore,User Score,Platform
1,The Legend of Zelda: Ocarina of Time,"As a young boy, Link is tricked by Ganondorf, the King of the Gerudo Thieves. The evil human uses Link to gain access to the Sacred Realm, where he places his tainted hands on Triforce and transforms the beautiful Hyrulean landscape into a barren wasteland. Link is determined to fix the problems he helped to create, so with the help of R...",Nintendo,"Nov 23, 1998",Open-World Action,99,9.1,Nintendo 64
2,SoulCalibur,"[Xbox Live Arcade]  Soulcalibur, the highest Metascoring game on the Dreamcast, has returned to the next generation. Sharpen your blades as you relive old grudges against classic adversaries in new high definition graphics. Prove your mettle against the world with a variety of leaderboards spanning every character and mode, or challenge...",Namco,"Sep 8, 1999",3D Fighting,98,7.8,"Dreamcast, iOS (iPhone/iPad), Xbox 360"
3,Grand Theft Auto IV,"[Metacritic's 2008 PS3 Game of the Year; Also known as ""GTA IV""]  What does the American Dream mean today? For Niko Belic, fresh off the boat from Europe. It's the hope he can escape his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City, gateway to the land of opportunity. As they slip into...",Rockstar North,"Apr 29, 2008",Open-World Action,98,8.3,"PlayStation 3, Xbox 360, PC"
4,Super Mario Galaxy,"[Metacritic's 2007 Wii Game of the Year] The ultimate Nintendo hero is taking the ultimate step ... out into space. Join Mario as he ushers in a new era of video games, defying gravity across all the planets in the galaxy. When some creature escapes into space with Princess Peach, Mario gives chase, exploring bizarre planets all across t...",Nintendo,"Nov 12, 2007",3D Platformer,97,9.1,Wii
5,Super Mario Galaxy 2,"Super Mario Galaxy 2, the sequel to the galaxy-hopping original game, includes the gravity-defying, physics-based exploration from the first game, but is loaded with entirely new galaxies and features to challenge players. On some stages, Mario can pair up with his dinosaur buddy Yoshi and use his tongue to grab items and spit them back...",Nintendo EAD Tokyo,"May 23, 2010",3D Platformer,97,9.0,Wii
6,The Legend of Zelda: Breath of the Wild,"Ignore everything you know about The Legend of Zelda games. Step into a world of discovery, exploration and adventure in The Legend of Zelda: Breath of the Wild. Travel across fields, through forests and to mountain peaks as you discover what has become of the ruined kingdom of Hyrule in this stunning open-air adventure. Explore the wild...",Nintendo,"Mar 3, 2017",Open-World Action,97,8.9,"Wii U, Nintendo Switch"
7,Tony Hawk's Pro Skater 3,Challenge up to four friends in online competitions over a LAN or the Internet.  Take them on in both Trick Attack and Graffiti modes. [Activision],Neversoft Entertainment,"Oct 30, 2001",Skating,97,7.7,"PlayStation 2, GameCube, Xbox, PlayStation, PC, Game Boy Advance, Nintendo 64"
8,Perfect Dark (2000),"[Xbox Live Arcade]  Agent Joanna Dark hit the ground running in Perfect Dark, an epic tale of galactic conspiracies in 2023 America. Now this classic shooter comes to Xbox LIVE Arcade, rendered in greater definition and detail and sporting a silkier framerate than ever before. Fire up your Farsight and prepare for assignment—the Dark ret...",Rare Ltd.,"May 22, 2000",FPS,97,8.5,"Nintendo 64, Xbox 360"
9,Red Dead Redemption 2,"Developed by the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America’s unforgiving heartland. The game’s vast and atmospheric world also provides the foundation for a brand new online multiplayer experience. America, 1899. The end of the Wild West era has begun. After a robbery...",Rockstar Games,"Oct 26, 2018",Open-World Action,97,8.9,"Xbox One, PlayStation 4, PC"
10,Grand Theft Auto V,"Los Santos is a vast, sun-soaked metropolis full of self-help gurus, starlets and once-important, formerly-known-as celebrities. The city was once the envy of the Western world, but is now struggling to stay afloat in an era of economic uncertainty and reality TV. Amidst the chaos, three unique criminals plot their own chances of surviva...",Rockstar North,"Nov 18, 2014",Open-World Action,97,8.5,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X"
